statistic,year,sex,age,unit,value
Mean Annual Earnings,2017,Male,40 - 49 years,Euro,56989
Mean Annual Earnings,2017,Male,50 - 59 years,Euro,56515
Mean Annual Earnings,2017,Male,60 years and over,Euro,43039
Mean Annual Earnings,2017,Female,15 - 24 years,Euro,17800
Mean Annual Earnings,2017,Female,15 years and over,Euro,36288
Mean Annual Earnings,2017,Female,25 - 29 years,Euro,30902
Mean Annual Earnings,2017,Female,30 - 39 years,Euro,38509
Mean Annual Earnings,2017,Female,40 - 49 years,Euro,41159
Mean Annual Earnings,2017,Female,50 - 59 years,Euro,37629
Mean Annual Earnings,2017,Female,60 years and over,Euro,28144
Mean Annual Earnings,2018,Male,15 - 24 years,Euro,21409
Mean Annual Earnings,2018,Male,15 years and over,Euro,49931
Mean Annual Earnings,2018,Male,25 - 29 years,Euro,35834
Mean Annual Earnings,2018,Male,30 - 39 years,Euro,47824
Mean Annual Earnings,2018,Male,40 - 49 years,Euro,58563
Mean Annual Earnings,2018,Male,50 - 59 years,Euro,58357
Mean Annual Earnings,2018,Male,60 years and over,Euro,44343
Mean Annual Earnings,2018,Female,15 - 24 years,Euro,18507
Mean Annual Earnings,2018,Female,15 years and over,Euro,37520
Mean Annual Earnings,2018,Female,25 - 29 years,Euro,32320
Mean Annual Earnings,2018,Female,30 - 39 years,Euro,39732
Mean Annual Earnings,2018,Female,40 - 49 years,Euro,42551
Mean Annual Earnings,2018,Female,50 - 59 years,Euro,38921
Mean Annual Earnings,2018,Female,60 years and over,Euro,29223
Mean Annual Earnings,2019,Male,15 - 24 years,Euro,22363
Mean Annual Earnings,2019,Male,15 years and over,Euro,51630
Mean Annual Earnings,2019,Male,25 - 29 years,Euro,37451
Mean Annual Earnings,2019,Male,30 - 39 years,Euro,49579
Mean Annual Earnings,2019,Male,40 - 49 years,Euro,60242
Mean Annual Earnings,2019,Male,50 - 59 years,Euro,60235
Mean Annual Earnings,2019,Male,60 years and over,Euro,46034
Mean Annual Earnings,2019,Female,15 - 24 years,Euro,19216
Mean Annual Earnings,2019,Female,15 years and over,Euro,38862
Mean Annual Earnings,2019,Female,25 - 29 years,Euro,33627
Mean Annual Earnings,2019,Female,30 - 39 years,Euro,40978
Mean Annual Earnings,2019,Female,40 - 49 years,Euro,44073
Mean Annual Earnings,2019,Female,50 - 59 years,Euro,40636
Mean Annual Earnings,2019,Female,60 years and over,Euro,30516
Mean Annual Earnings,2020,Male,15 - 24 years,Euro,24629
Mean Annual Earnings,2020,Male,15 years and over,Euro,56171
Mean Annual Earnings,2020,Male,25 - 29 years,Euro,40670
Mean Annual Earnings,2020,Male,30 - 39 years,Euro,54121
Mean Annual Earnings,2020,Male,40 - 49 years,Euro,64724
Mean Annual Earnings,2020,Male,50 - 59 years,Euro,64662
Mean Annual Earnings,2020,Male,60 years and over,Euro,50443
Mean Annual Earnings,2020,Female,15 - 24 years,Euro,22133
Mean Annual Earnings,2020,Female,15 years and over,Euro,43693
Mean Annual Earnings,2020,Female,25 - 29 years,Euro,37720
Mean Annual Earnings,2020,Female,30 - 39 years,Euro,45889
Mean Annual Earnings,2020,Female,40 - 49 years,Euro,49055
Mean Annual Earnings,2020,Female,50 - 59 years,Euro,45057
Mean Annual Earnings,2020,Female,60 years and over,Euro,34943
Mean Annual Earnings,2021,Male,15 - 24 years,Euro,24971
Mean Annual Earnings,2021,Male,15 years and over,Euro,57348
Mean Annual Earnings,2021,Male,25 - 29 years,Euro,42370
Mean Annual Earnings,2021,Male,30 - 39 years,Euro,55941
Mean Annual Earnings,2021,Male,40 - 49 years,Euro,65647
Mean Annual Earnings,2021,Male,50 - 59 years,Euro,65283
Mean Annual Earnings,2021,Male,60 years and over,Euro,50005
Mean Annual Earnings,2021,Female,15 - 24 years,Euro,22207
Mean Annual Earnings,2021,Female,15 years and over,Euro,44433
Mean Annual Earnings,2021,Female,25 - 29 years,Euro,38810
Mean Annual Earnings,2021,Female,30 - 39 years,Euro,46848
Mean Annual Earnings,2021,Female,40 - 49 years,Euro,49806
Mean Annual Earnings,2021,Female,50 - 59 years,Euro,45794
Mean Annual Earnings,2021,Female,60 years and over,Euro,34958
Mean Annual Earnings,2022,Male,15 - 24 years,Euro,24643
Mean Annual Earnings,2022,Male,15 years and over,Euro,58612
Mean Annual Earnings,2022,Male,25 - 29 years,Euro,43491
Mean Annual Earnings,2022,Male,30 - 39 years,Euro,57733
Mean Annual Earnings,2022,Male,40 - 49 years,Euro,67175
Mean Annual Earnings,2022,Male,50 - 59 years,Euro,67392
Mean Annual Earnings,2022,Male,60 years and over,Euro,51044
Mean Annual Earnings,2022,Female,15 - 24 years,Euro,21441
Mean Annual Earnings,2022,Female,15 years and over,Euro,45151
Mean Annual Earnings,2022,Female,25 - 29 years,Euro,39551
Mean Annual Earnings,2022,Female,30 - 39 years,Euro,47979
Mean Annual Earnings,2022,Female,40 - 49 years,Euro,51089
Mean Annual Earnings,2022,Female,50 - 59 years,Euro,47102
Mean Annual Earnings,2022,Female,60 years and over,Euro,35304
Mean Annual Earnings,2023,Male,15 - 24 years,Euro,25372
Mean Annual Earnings,2023,Male,15 years and over,Euro,60816
Mean Annual Earnings,2023,Male,25 - 29 years,Euro,45316
Mean Annual Earnings,2023,Male,30 - 39 years,Euro,60648
Mean Annual Earnings,2023,Male,40 - 49 years,Euro,69793
Mean Annual Earnings,2023,Male,50 - 59 years,Euro,70036
Mean Annual Earnings,2023,Male,60 years and over,Euro,53437
Mean Annual Earnings,2023,Female,15 - 24 years,Euro,22081
Mean Annual Earnings,2023,Female,15 years and over,Euro,46915
Mean Annual Earnings,2023,Female,25 - 29 years,Euro,41032
Mean Annual Earnings,2023,Female,30 - 39 years,Euro,50254
Mean Annual Earnings,2023,Female,40 - 49 years,Euro,52978
Mean Annual Earnings,2023,Female,50 - 59 years,Euro,49535
Mean Annual Earnings,2023,Female,60 years and over,Euro,36869
Mean Annual Earnings,2024,Male,15 - 24 years,Euro,26281
Mean Annual Earnings,2024,Male,15 years and over,Euro,63520
Mean Annual Earnings,2024,Male,25 - 29 years,Euro,46310
Mean Annual Earnings,2024,Male,30 - 39 years,Euro,63590
Mean Annual Earnings,2024,Male,40 - 49 years,Euro,73034
Mean Annual Earnings,2024,Male,50 - 59 years,Euro,73312
Mean Annual Earnings,2024,Male,60 years and over,Euro,55985
Mean Annual Earnings,2024,Female,15 - 24 years,Euro,23041
Mean Annual Earnings,2024,Female,15 years and over,Euro,49022
Mean Annual Earnings,2024,Female,25 - 29 years,Euro,41769
Mean Annual Earnings,2024,Female,30 - 39 years,Euro,52548
Mean Annual Earnings,2024,Female,40 - 49 years,Euro,55666
Mean Annual Earnings,2024,Female,50 - 59 years,Euro,52240
Mean Annual Earnings,2024,Female,60 years and over,Euro,38669
Median Annual Earnings,2011,Male,15 - 24 years,Euro,17712
Median Annual Earnings,2011,Male,15 years and over,Euro,37492
Median Annual Earnings,2011,Male,25 - 29 years,Euro,28515
Median Annual Earnings,2011,Male,30 - 39 years,Euro,38552
Median Annual Earnings,2011,Male,40 - 49 years,Euro,44861
Median Annual Earnings,2011,Male,50 - 59 years,Euro,44386
Median Annual Earnings,2011,Male,60 years and over,Euro,32919
Median Annual Earnings,2011,Female,15 - 24 years,Euro,15859
Median Annual Earnings,2011,Female,15 years and over,Euro,29189
Median Annual Earnings,2011,Female,25 - 29 years,Euro,27397
Median Annual Earnings,2011,Female,30 - 39 years,Euro,34573
Median Annual Earnings,2011,Female,40 - 49 years,Euro,31041
Median Annual Earnings,2011,Female,50 - 59 years,Euro,29524
Median Annual Earnings,2011,Female,60 years and over,Euro,19719
Median Annual Earnings,2012,Male,15 - 24 years,Euro,17269
Median Annual Earnings,2012,Male,15 years and over,Euro,36860
Median Annual Earnings,2012,Male,25 - 29 years,Euro,27892
Median Annual Earnings,2012,Male,30 - 39 years,Euro,37460
Median Annual Earnings,2012,Male,40 - 49 years,Euro,44392
Median Annual Earnings,2012,Male,50 - 59 years,Euro,43680
Median Annual Earnings,2012,Male,60 years and over,Euro,31905
Median Annual Earnings,2012,Female,15 - 24 years,Euro,15121
Median Annual Earnings,2012,Female,15 years and over,Euro,29189
