statistic,year,sex,age,unit,value
Percentage of Employments,2015,Male,60 years and over,%,49.7
Percentage of Employments,2015,Female,15 - 24 years,%,50.6
Percentage of Employments,2015,Female,15 years and over,%,49.8
Percentage of Employments,2015,Female,25 - 29 years,%,50.4
Percentage of Employments,2015,Female,30 - 39 years,%,48.9
Percentage of Employments,2015,Female,40 - 49 years,%,49.3
Percentage of Employments,2015,Female,50 - 59 years,%,52
Percentage of Employments,2015,Female,60 years and over,%,50.3
Percentage of Employments,2016,Male,15 - 24 years,%,49.5
Percentage of Employments,2016,Male,15 years and over,%,50.3
Percentage of Employments,2016,Male,25 - 29 years,%,50.5
Percentage of Employments,2016,Male,30 - 39 years,%,51.4
Percentage of Employments,2016,Male,40 - 49 years,%,51
Percentage of Employments,2016,Male,50 - 59 years,%,48.4
Percentage of Employments,2016,Male,60 years and over,%,49.9
Percentage of Employments,2016,Female,15 - 24 years,%,50.5
Percentage of Employments,2016,Female,15 years and over,%,49.4
Percentage of Employments,2016,Female,25 - 29 years,%,49.5
Percentage of Employments,2016,Female,30 - 39 years,%,48.6
Percentage of Employments,2016,Female,40 - 49 years,%,49
Percentage of Employments,2016,Female,50 - 59 years,%,51.6
Percentage of Employments,2016,Female,60 years and over,%,50.1
Percentage of Employments,2017,Male,15 - 24 years,%,49.7
Percentage of Employments,2017,Male,15 years and over,%,50.6
Percentage of Employments,2017,Male,25 - 29 years,%,51.2
Percentage of Employments,2017,Male,30 - 39 years,%,51.8
Percentage of Employments,2017,Male,40 - 49 years,%,51.2
Percentage of Employments,2017,Male,50 - 59 years,%,48.7
Percentage of Employments,2017,Male,60 years and over,%,50.1
Percentage of Employments,2017,Female,15 - 24 years,%,50.3
Percentage of Employments,2017,Female,15 years and over,%,49.2
Percentage of Employments,2017,Female,25 - 29 years,%,48.8
Percentage of Employments,2017,Female,30 - 39 years,%,48.2
Percentage of Employments,2017,Female,40 - 49 years,%,48.8
Percentage of Employments,2017,Female,50 - 59 years,%,51.3
Percentage of Employments,2017,Female,60 years and over,%,49.9
Percentage of Employments,2018,Male,15 - 24 years,%,49.7
Percentage of Employments,2018,Male,15 years and over,%,50.8
Percentage of Employments,2018,Male,25 - 29 years,%,51.5
Percentage of Employments,2018,Male,30 - 39 years,%,52
Percentage of Employments,2018,Male,40 - 49 years,%,51.2
Percentage of Employments,2018,Male,50 - 59 years,%,49.1
Percentage of Employments,2018,Male,60 years and over,%,50.5
Percentage of Employments,2018,Female,15 - 24 years,%,50.3
Percentage of Employments,2018,Female,15 years and over,%,49.1
Percentage of Employments,2018,Female,25 - 29 years,%,48.5
Percentage of Employments,2018,Female,30 - 39 years,%,48
Percentage of Employments,2018,Female,40 - 49 years,%,48.8
Percentage of Employments,2018,Female,50 - 59 years,%,50.9
Percentage of Employments,2018,Female,60 years and over,%,49.5
Percentage of Employments,2019,Male,15 - 24 years,%,49.9
Percentage of Employments,2019,Male,15 years and over,%,51
Percentage of Employments,2019,Male,25 - 29 years,%,51.6
Percentage of Employments,2019,Male,30 - 39 years,%,52.3
Percentage of Employments,2019,Male,40 - 49 years,%,51.2
Percentage of Employments,2019,Male,50 - 59 years,%,49.4
Percentage of Employments,2019,Male,60 years and over,%,50.5
Percentage of Employments,2019,Female,15 - 24 years,%,50.1
Percentage of Employments,2019,Female,15 years and over,%,48.9
Percentage of Employments,2019,Female,25 - 29 years,%,48.4
Percentage of Employments,2019,Female,30 - 39 years,%,47.7
Percentage of Employments,2019,Female,40 - 49 years,%,48.8
Percentage of Employments,2019,Female,50 - 59 years,%,50.6
Percentage of Employments,2019,Female,60 years and over,%,49.5
Percentage of Employments,2020,Male,15 - 24 years,%,51.3
Percentage of Employments,2020,Male,15 years and over,%,51.2
Percentage of Employments,2020,Male,25 - 29 years,%,51.3
Percentage of Employments,2020,Male,30 - 39 years,%,52.3
Percentage of Employments,2020,Male,40 - 49 years,%,51.1
Percentage of Employments,2020,Male,50 - 59 years,%,49.6
Percentage of Employments,2020,Male,60 years and over,%,51.3
Percentage of Employments,2020,Female,15 - 24 years,%,48.7
Percentage of Employments,2020,Female,15 years and over,%,48.8
Percentage of Employments,2020,Female,25 - 29 years,%,48.7
Percentage of Employments,2020,Female,30 - 39 years,%,47.7
Percentage of Employments,2020,Female,40 - 49 years,%,48.9
Percentage of Employments,2020,Female,50 - 59 years,%,50.4
Percentage of Employments,2020,Female,60 years and over,%,48.7
Percentage of Employments,2021,Male,15 - 24 years,%,52
Percentage of Employments,2021,Male,15 years and over,%,51.4
Percentage of Employments,2021,Male,25 - 29 years,%,51.4
Percentage of Employments,2021,Male,30 - 39 years,%,52.6
Percentage of Employments,2021,Male,40 - 49 years,%,51.1
Percentage of Employments,2021,Male,50 - 59 years,%,50.1
Percentage of Employments,2021,Male,60 years and over,%,51.5
Percentage of Employments,2021,Female,15 - 24 years,%,48
Percentage of Employments,2021,Female,15 years and over,%,48.6
Percentage of Employments,2021,Female,25 - 29 years,%,48.6
Percentage of Employments,2021,Female,30 - 39 years,%,47.4
Percentage of Employments,2021,Female,40 - 49 years,%,48.9
Percentage of Employments,2021,Female,50 - 59 years,%,49.9
Percentage of Employments,2021,Female,60 years and over,%,48.5
Percentage of Employments,2022,Male,15 - 24 years,%,50.6
Percentage of Employments,2022,Male,15 years and over,%,51.3
Percentage of Employments,2022,Male,25 - 29 years,%,51.7
Percentage of Employments,2022,Male,30 - 39 years,%,52.6
Percentage of Employments,2022,Male,40 - 49 years,%,50.9
Percentage of Employments,2022,Male,50 - 59 years,%,50.2
Percentage of Employments,2022,Male,60 years and over,%,51.8
Percentage of Employments,2022,Female,15 - 24 years,%,49.4
Percentage of Employments,2022,Female,15 years and over,%,48.7
Percentage of Employments,2022,Female,25 - 29 years,%,48.3
Percentage of Employments,2022,Female,30 - 39 years,%,47.4
Percentage of Employments,2022,Female,40 - 49 years,%,49.1
Percentage of Employments,2022,Female,50 - 59 years,%,49.8
Percentage of Employments,2022,Female,60 years and over,%,48.2
Percentage of Employments,2023,Male,15 - 24 years,%,49.7
Percentage of Employments,2023,Male,15 years and over,%,50.9
Percentage of Employments,2023,Male,25 - 29 years,%,51.8
Percentage of Employments,2023,Male,30 - 39 years,%,52.3
Percentage of Employments,2023,Male,40 - 49 years,%,50.3
Percentage of Employments,2023,Male,50 - 59 years,%,50
Percentage of Employments,2023,Male,60 years and over,%,51.7
Percentage of Employments,2023,Female,15 - 24 years,%,50.3
Percentage of Employments,2023,Female,15 years and over,%,49.1
Percentage of Employments,2023,Female,25 - 29 years,%,48.2
Percentage of Employments,2023,Female,30 - 39 years,%,47.7
Percentage of Employments,2023,Female,40 - 49 years,%,49.7
Percentage of Employments,2023,Female,50 - 59 years,%,50
Percentage of Employments,2023,Female,60 years and over,%,48.3
Percentage of Employments,2024,Male,15 - 24 years,%,48.9
Percentage of Employments,2024,Male,15 years and over,%,50.6
Percentage of Employments,2024,Male,25 - 29 years,%,51.5
Percentage of Employments,2024,Male,30 - 39 years,%,52.1
Percentage of Employments,2024,Male,40 - 49 years,%,49.9
Percentage of Employments,2024,Male,50 - 59 years,%,49.7
Percentage of Employments,2024,Male,60 years and over,%,51.2
Percentage of Employments,2024,Female,15 - 24 years,%,51.1
Percentage of Employments,2024,Female,15 years and over,%,49.4
Percentage of Employments,2024,Female,25 - 29 years,%,48.5
Percentage of Employments,2024,Female,30 - 39 years,%,47.9
Percentage of Employments,2024,Female,40 - 49 years,%,50.1
Percentage of Employments,2024,Female,50 - 59 years,%,50.3
Percentage of Employments,2024,Female,60 years and over,%,48.8
